url,title,category,lastmod
https://www.shanethegamer.com/esports-news/ex-oblivione-disbands-marvel-rivals-roster-ahead-of-ignite-stage-2/,Ex Oblivione Disbands Marvel Rivals Roster Ahead Of Ignite Stage 2,esports-news,2025-09-02T12:29:25+00:00
https://www.shanethegamer.com/esports-news/twisted-minds-apex-legends-roster-exit/,Twisted Minds Apex Legends Roster Exit,esports-news,2025-09-02T12:06:24+00:00
https://www.shanethegamer.com/esports-news/whitemon-tundra-esports-roster-change-ti2025/,Whitemon Tundra Esports Roster Change Ti2025,esports-news,2025-09-02T11:49:53+00:00
https://www.shanethegamer.com/esports-news/mobile-legends-m7-world-championship-slot-allocation/,Mobile Legends M7 World Championship Slot Allocation,esports-news,2025-09-02T11:30:59+00:00
https://www.shanethegamer.com/esports-news/new-virtus-pro-player-to0ro-main-cs2-roster/,New Virtus Pro Player To0Ro Main Cs2 Roster,esports-news,2025-09-02T10:57:30+00:00
https://www.shanethegamer.com/esports-news/valorant-replay-system-launching-patch-11-06/,Valorant Replay System Launching Patch 11 06,esports-news,2025-09-01T14:29:00+00:00
https://www.shanethegamer.com/esports-news/perfecto-virtuspro-igl-captain/,Perfecto Virtuspro Igl Captain,esports-news,2025-09-01T14:28:20+00:00
https://www.shanethegamer.com/esports-news/pubg-teams-up-with-g-dragon-for-a-huge-september-collab/,Pubg Teams Up With G Dragon For A Huge September Collab,esports-news,2025-09-01T14:27:55+00:00
https://www.shanethegamer.com/esports-news/magisk-returns-to-astralis-after-leaving-falcons/,Magisk Returns To Astralis After Leaving Falcons,esports-news,2025-09-01T11:12:57+00:00
https://www.shanethegamer.com/esports-news/paper-rex-vct-pacific-stage-2-champions-2025/,Paper Rex Vct Pacific Stage 2 Champions 2025,esports-news,2025-09-01T10:47:06+00:00
https://www.shanethegamer.com/esports-news/valorant-champions-paris-2025-all-teams-groups-announced/,Valorant Champions Paris 2025 All Teams Groups Announced,esports-news,2025-09-01T10:35:23+00:00
https://www.shanethegamer.com/esports-news/g2-esports-sweep-nrg-to-win-vct-americas-stage-2/,G2 Esports Sweep Nrg To Win Vct Americas Stage 2,esports-news,2025-09-01T09:26:57+00:00
https://www.shanethegamer.com/esports-news/valorant-champions-2025-bundle-trailer/,Valorant Champions 2025 Bundle Trailer,esports-news,2025-09-01T08:58:31+00:00
https://www.shanethegamer.com/esports-news/team-liquid-win-vct-emea-stage-2/,Team Liquid Win Vct Emea Stage 2,esports-news,2025-09-01T08:35:39+00:00
https://www.shanethegamer.com/esports-news/navi-disbands-tekken-8-roster/,Navi Disbands Tekken 8 Roster,esports-news,2025-09-01T08:05:03+00:00
https://www.shanethegamer.com/esports-news/the-international-2025-group-stage-rules-change/,The International 2025 Group Stage Rules Change,esports-news,2025-08-30T12:13:40+00:00
https://www.shanethegamer.com/esports-news/valorant-vct-emea-ascension-2025-format-update/,Valorant Vct Emea Ascension 2025 Format Update,esports-news,2025-08-30T12:03:03+00:00
https://www.shanethegamer.com/esports-news/valorant-champions-2025-bundle-leak-release-date-skins-price/,Valorant Champions 2025 Bundle Leak Release Date Skins Price,esports-news,2025-08-30T11:44:51+00:00
https://www.shanethegamer.com/esports-news/virtuspro-bench-electronic-blast-open-london/,Virtuspro Bench Electronic Blast Open London,esports-news,2025-08-30T11:21:43+00:00
https://www.shanethegamer.com/esports-news/blast-r6-stage-2-twitch-drops/,Blast R6 Stage 2 Twitch Drops,esports-news,2025-08-30T10:54:29+00:00
https://www.shanethegamer.com/esports-news/lec-summer-split-format-2025-dropped/,Lec Summer Split Format 2025 Dropped,esports-news,2025-08-30T10:34:35+00:00
https://www.shanethegamer.com/esports-news/100-thieves-demon-slayer-collaboration/,100 Thieves Demon Slayer Collaboration,esports-news,2025-08-30T10:06:30+00:00
https://www.shanethegamer.com/esports-news/tekkz-departs-man-city-esports-epl-champion/,Tekkz Departs Man City Esports Epl Champion,esports-news,2025-08-29T12:12:00+00:00
https://www.shanethegamer.com/esports-news/avulus-dota-2-roster-disband/,Avulus Dota 2 Roster Disband,esports-news,2025-08-29T12:05:20+00:00
